Distance Matrix of Complete Delhi with ATM/Bank

           [,1]      [,2]      [,3]      [,4]       [,5]       [,6]         [,7]         [,8]      [,9]     [,10]
 [1,]  0.000000  7.986089 19.849967 13.928750 12.3065952 12.8485183 12.473727160 12.472812814  7.267936  4.916288
 [2,]  7.986089  0.000000 11.886070  5.969090  4.3374840  4.9061978  4.509098938  4.508061836 15.173880 12.478476
 [3,] 19.849967 11.886070  0.000000  5.921682  7.6920905  7.2681511  7.379361944  7.380335108 26.934341 24.096923
 [4,] 13.928750  5.969090  5.921682  0.000000  2.0192876  1.9094953  1.460042665  1.461095575 21.037353 18.235223
 [5,] 12.306595  4.337484  7.692090  2.019288  0.0000000  0.6321654  1.037953630  1.036190154 19.511117 16.802794
 [6,] 12.848518  4.906198  7.268151  1.909495  0.6321654  0.0000000  1.424257349  1.422873467 20.070481 17.383024
 [7,] 12.473727  4.509099  7.379362  1.460043  1.0379536  1.4242573  0.000000000  0.001852713 19.599108 16.816001
 [8,] 12.472813  4.508062  7.380335  1.461096  1.0361902  1.4228735  0.001852713  0.000000000 19.598345 16.815354
 [9,]  7.267936 15.173880 26.934341 21.037353 19.5111167 20.0704812 19.599107890 19.598344913  0.000000  3.042299
[10,]  4.916288 12.478476 24.096923 18.235223 16.8027943 17.3830237 16.816000715 16.815353782  3.042299  0.000000
