Distance Matrix of Complete Delhi with Bars only:

           [,1]      [,2]       [,3]      [,4]      [,5]       [,6]        [,7]      [,8]       [,9]       [,10]
 [1,]  0.000000 16.046786  7.5825565 14.877663 26.074421  7.4236849 20.09205235 10.338364  6.4805364 20.05865992
 [2,] 16.046786  0.000000  8.5214627  2.463484 10.052741  8.6771058  4.05850003  5.712064  9.6013795  4.02294152
 [3,]  7.582556  8.521463  0.0000000  7.315216 18.573945  0.1589923 12.57980042  2.908965  1.1037944 12.54438818
 [4,] 14.877663  2.463484  7.3152155  0.000000 11.714944  7.4738753  5.89082723  4.935043  8.4177372  5.84726665
 [5,] 26.074421 10.052741 18.5739449 11.714944  0.000000 18.7293660  5.99424163 15.739108 19.6509657  6.02997256
 [6,]  7.423685  8.677106  0.1589923  7.473875 18.729366  0.0000000 12.73530949  3.054753  0.9448199 12.69997611
 [7,] 20.092052  4.058500 12.5798004  5.890827  5.994242 12.7353095  0.00000000  9.753750 13.6580195  0.04656524
 [8,] 10.338364  5.712064  2.9089650  4.935043 15.739108  3.0547532  9.75374951  0.000000  3.9375139  9.72030222
 [9,]  6.480536  9.601379  1.1037944  8.417737 19.650966  0.9448199 13.65801955  3.937514  0.0000000 13.62315577
[10,] 20.058660  4.022942 12.5443882  5.847267  6.029973 12.6999761  0.04656524  9.720302 13.6231558  0.00000000
